restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
COMO - Pizzeria,"Italian, Continental, Healthy Food",1400,"32nd avenue, nh8, gurgaon, gurgaon",4.0,321,4.2,429,https://www.zomato.com/ncr/como-pizzeria-sector-15,"32nd Avenue, National Highway 8, Sector 15, Gurgaon",9.19999E+11,28.473944,77.048643,"ambience was super cool, host, outdoor seating, weekend brunch, elaborate menu, good music",not specified
Fig At Museo,"American, Continental, Italian, Desserts, Beverages",1400,"dlf phase 4, gurgaon",4.0,128,0.0,0,https://www.zomato.com/ncr/fig-at-museo-dlf-phase-4,"Near Museo Camera Centre Photographic Arts, Shri Ganesh Mandir Marg, Sector 28, DLF Phase 4, Gurgaon",9.19911E+11,28.46950388,77.0800798,"courteous staff and service, outdoor seating, weekend brunch, elaborate menu, good music, hospitality",not specified
PLATE,"Asian, Continental, Japanese",1800,"dlf promenade mall, vasant kunj, new delhi",4.0,193,3.5,33,https://www.zomato.com/ncr/plate-vasant-kunj-new-delhi,"122-124, Ground Floor, DLF Promenade Mall, Nelson Mandela Marg, Vasant Kunj, New Delhi",9.19899E+11,28.54275489,77.1567028,"fair prices, decoration, weekend brunch, view, good music, table",not specified
Dhansoo Cafe,"Modern Indian, Fast Food, Beverages, Japanese, Seafood, Asian, Desserts",2000,"pacific mall, tagore garden, new delhi",4.0,191,0.0,10,https://www.zomato.com/ncr/dhansoo-cafe-1-tagore-garden-new-delhi,"Unit SH/2F/06, Second Floor, Pacific Mall, Tagore Garden, New Delhi",9.11142E+11,28.64217949,77.10650635,"mezze platter, mocktails, pastas, beer, burgers, pizzas","sheesha, hookah, decent ambience, comfortable seating, nice music, great music"
The Backyard,"Italian, Mexican, Continental",1800,"punjabi bagh, new delhi",4.0,856,4.3,949,https://www.zomato.com/ncr/the-backyard-punjabi-bagh-new-delhi,"49, Ground Floor, North West Avenue, Club Road, Punjabi Bagh, New Delhi",9.19555E+11,28.66702629,77.11991865,"nawabi paneer, tandoori soya chaap, dosa, momos, fries","variety of veg options, good for large groups, relaxed atmosphere, family place, packed on weekends, courteous staff"
ASAP - As Spicy As Possible Diner,"North Indian, Chinese, Street Food, Pizza, South Indian, Beverages, Desserts",500,"raj nagar, ghaziabad",4.0,255,4.1,1411,https://www.zomato.com/ncr/asap-as-spicy-as-possible-diner-raj-nagar-ghaziabad,"C-88, RDC, Raj Nagar, Ghaziabad",9.19718E+11,28.67700171,77.44326565,"pretty decor, comforting atmosphere, excellent location, clean and hygienic place, served quickly, nice concept",not specified
Mai Bao,"Singaporean, Seafood, Chinese, Momos",1300,"dlf avenue, saket, new delhi",4.0,72,3.9,28,https://www.zomato.com/ncr/mai-bao-saket-new-delhi,"DLF Avenue Mall, Saket, New Delhi",9.19972E+11,28.5280631,77.21701853,"teriyaki chicken, grilled chicken steak, cocktail, drinks","extensive bar menu, fusion dishes, ample seating area, packed on weekends, live music, quality of food"
Imperfecto Shor - Cafe,"Continental, Turkish, Desserts, Beverages",2100,"pride plaza hotel, aerocity, new delhi",4.0,288,0.0,0,https://www.zomato.com/ncr/imperfecto-shor-cafe-aerocity-new-delhi,"Hotel Pride Plaza, 5A, Hospitality District, Assest, Aerocity, New Delhi",9.19999E+11,28.5530434,77.1234828,"rooftop dining, best staff, fantastic decoration, nice concept, served quickly, clean and hygienic place",not specified
Noon Mirch,"North Indian, Mughlai, Biryani, Desserts",2000,"indirapuram, ghaziabad",4.0,134,0.0,0,https://www.zomato.com/ncr/noon-mirch-indirapuram-ghaziabad,"3rd Floor, D Mall, Indirapuram, Ghaziabad",9.18929E+11,28.64588741,77.37504065,"veg gourmet pizza, meat platter, masala chai, tandoori platter, nachos, soya chaap","good bartenders, cozy place, nice music, hookah, packed on weekends, beautiful place"
The Immigrant Cafe,"North Indian, Italian, Chinese, Fast Food, Beverages",2200,"connaught place, new delhi",4.0,860,0.0,2,https://www.zomato.com/ncr/the-immigrant-cafe-1-connaught-place-new-delhi,"B 45, 1st Floor, Inner Circle, Connaught Place, New Delhi",9.19999E+11,28.6341649,77.2188526,"cashless payments, design, sitting area, outdoor seating, good music, bar",not specified
